Type,Collection,Document,Layer,Feature,Position,Annotator,admin,annotator1,curator1
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,818-837 [dämpat basalt höger],FND,null,null,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,818-831 [dämpat basalt],null,null,FND,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,839-844 [Inget],NEG,null,NEG,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,845-862 [förlängt expirium],FND,null,FND,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,891-896 [Ingen],NEG,null,NEG,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,903-912 [peritonit],FND,null,FND,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,955-959 [inga],NEG,null,NEG,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,960-971 [pittingödem],FND,null,FND,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1033-1037 [utan],NEG,null,FND,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1038-1058 [respiratorisk acidos],null,null,DIS,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1119-1121 [Ej],NEG,null,NEG,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1164-1168 [inga],NEG,null,NEG,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1177-1194 [ischemiska tecken],null,null,FND,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1177-1187 [ischemiska],FND,null,null,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1235-1243 [penumoni],DIS,null,DIS,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1250-1258 [COVID-19],DIS,null,DIS,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1403-1417 [Syrgaskrävande],null,null,FND,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1423-1425 [Ej],NEG,null,NEG,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1426-1433 [septisk],FND,null,FND,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1445-1453 [Pneumoni],DIS,null,DIS,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,27-33 [dyspné],SYM,null,SYM,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,69-71 [FF],DIS,null,DIS,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,73-86 [hyperlipidemi],DIS,null,DIS,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,88-90 [BC],DIS,null,DIS,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,147-151 [Inga],NEG,null,NEG,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,161-167 [NSTEMI],DIS,null,DIS,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,174-180 [Stroke],DIS,null,DIS,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,186-190 [utan],NEG,null,NEG,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,207-224 [Minnesproblematik],SYM,null,SYM,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,363-368 [Ingen],NEG,null,NEG,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,395-401 [febril],SYM,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,403-414 [desaturerad],SYM,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,419-423 [utan],null,null,NEG,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,454-461 [förkyld],SYM,null,SYM,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,552-562 [Obstruktiv],FND,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,564-580 [förlängt expirum],FND,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,637-641 [inga],NEG,null,NEG,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,654-660 [trauma],FND,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,692-705 [kall perifert],FND,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,707-727 [Marmorerad över knän],null,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,707-717 [Marmorerad],FND,null,null,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,746-758 [Oregelbunden],FND,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,772-785 [smala komplex],null,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,890-894 [inga],NEG,null,NEG,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,895-921 [fokala neurotiska bortfall],FND,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,923-934 [Konfusorisk],FND,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,936-941 [RLS 2],FND,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,943-948 [Ingen],NEG,null,NEG,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,949-960 [nackstelhet],FND,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,965-973 [Skrapsår],FND,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,986-994 [blåmärke],FND,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1009-1014 [ingen],NEG,null,NEG,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1015-1027 [utåtrotation],FND,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1090-1096 [acidos],FND,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1097-1101 [utan],NEG,null,NEG,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1132-1146 [Förmaksflimmer],FND,null,DIS,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1178-1184 [Sepsis],FND,null,DIS,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1238-1242 [Inga],NEG,null,NEG,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1255-1263 [blödning],FND,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1290-1308 [traumatiska skador],null,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1330-1336 [febril],FND,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1410-1416 [trauma],null,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1421-1439 [medvetandepåverkan],null,null,FND,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1647-1649 [ej],NEG,null,NEG,null
SpanPosition,CovidQ,chart2.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1709-1717 [Pneumoni],DIS,null,DIS,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,14-31 [Extremitetssmärta],SYM,null,SYM,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,71-81 [colontumör],DIS,null,DIS,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,98-103 [ileus],SYM,null,DIS,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,121-131 [Depression],DIS,null,DIS,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,265-271 [artros],DIS,null,DIS,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,387-394 [Smärtor],SYM,null,SYM,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,447-451 [Inte],NEG,null,NEG,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,466-474 [svullnad],SYM,null,FND,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,481-487 [rodnad],SYM,null,FND,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,489-494 [Ingen],NEG,null,NEG,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,495-501 [dyspné],SYM,null,SYM,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,519-525 [trauma],null,null,FND,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,546-550 [Inga],NEG,null,NEG,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,551-567 [luftvägssymptome],SYM,null,SYM,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,573-578 [feber],SYM,null,FND,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,604-613 [smärtorna],SYM,null,SYM,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,713-717 [inga],NEG,null,NEG,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,718-726 [blåsljud],FND,null,FND,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,852-856 [inga],NEG,null,NEG,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,857-868 [pittingödem],FND,null,FND,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,875-892 [kompressionsömhet],FND,null,FND,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,983-987 [Inga],NEG,null,NEG,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,988-994 [erytem],FND,null,FND,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,996-1001 [Ingen],NEG,null,NEG,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1002-1008 [smärta],FND,null,SYM,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1109-1112 [DVT],FND,null,DIS,null
SpanPosition,CovidQ,chart3.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1258-1264 [smärta],FND,null,SYM,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,14-26 [Intoxikation],SYM,null,DIS,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,59-63 [inga],NEG,null,NEG,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,229-237 [agiterat],FND,null,null,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,239-241 [Ej],NEG,null,NEG,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,290-296 [kräkts],SYM,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,312-326 [svårkontaktbar],SYM,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,393-397 [inte],NEG,null,NEG,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,458-477 [somnar snabbt undan],null,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,556-564 [takykard],FND,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,570-586 [Diskret blåsljud],null,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,578-586 [blåsljud],FND,null,null,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,676-681 [Inget],NEG,null,NEG,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,682-691 [peritonit],FND,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,693-698 [ingen],NEG,null,NEG,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,699-714 [förstorad lever],FND,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,797-814 [gränslång QTc-tid],FND,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,843-856 [Förlångsammad],FND,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,858-863 [RLS 2],FND,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,946-948 [ej],NEG,null,NEG,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1001-1005 [Inga],NEG,null,NEG,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1013-1031 [psykotiska symptom],FND,null,SYM,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1037-1039 [ej],NEG,null,NEG,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1088-1093 [RLS 2],FND,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1095-1108 [förlångsammad],FND,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1161-1166 [Ingen],NEG,null,NEG,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1167-1173 [tremor],FND,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1228-1233 [ingen],NEG,null,NEG,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1234-1243 [nystagmus],FND,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1245-1250 [Ingen],NEG,null,NEG,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1251-1271 [kranialnervspåverkan],FND,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1299-1303 [utan],NEG,null,NEG,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1341-1357 [positiv babinski],null,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1349-1357 [babinski],FND,null,null,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1400-1406 [acidos],FND,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1417-1421 [utan],NEG,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1451-1463 [intoxikation],FND,null,DIS,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1465-1467 [ej],NEG,null,NEG,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1589-1599 [depression],FND,null,DIS,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1673-1695 [antikollinergt syndrom],FND,null,DIS,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1706-1713 [resurin],FND,null,null,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1799-1803 [inte],NEG,null,NEG,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1843-1857 [QTc förlänging],FND,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1859-1873 [förlångsamning],FND,null,FND,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,1902-1915 [lergiganintox],null,null,DIS,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,2055-2064 [agitering],FND,null,SYM,null
SpanPosition,CovidQ,chart4.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,2082-2090 [delirium],FND,null,null,null
SpanPosition,CovidQ,chart5.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,24-39 [handledsfraktur],DIS,null,DIS,null
SpanPosition,CovidQ,chart5.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,80-84 [inga],NEG,null,NEG,null
SpanPosition,CovidQ,chart5.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,196-202 [smärta],SYM,null,SYM,null
SpanPosition,CovidQ,chart5.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,208-210 [Ej],NEG,null,NEG,null
SpanPosition,CovidQ,chart5.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,234-241 [smärtor],SYM,null,SYM,null
SpanPosition,CovidQ,chart5.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,350-352 [Ej],NEG,null,NEG,null
SpanPosition,CovidQ,chart5.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,381-388 [smärtor],SYM,null,SYM,null
SpanPosition,CovidQ,chart5.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,495-502 [svullen],FND,null,FND,null
SpanPosition,CovidQ,chart5.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,507-514 [hematom],FND,null,FND,null
SpanPosition,CovidQ,chart5.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,594-600 [smärta],FND,null,SYM,null
SpanPosition,CovidQ,chart5.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,624-629 [Ingen],NEG,null,NEG,null
